iter	Passed	Remaining
0	218	218556
1	309	154336
2	390	129903
3	456	113659
4	521	103744
5	596	98783
6	679	96417
7	744	92283
8	815	89829
9	887	87897
10	967	87019
11	1068	87944
12	1148	87205
13	1228	86497
14	1301	85478
15	1372	84435
16	1445	83572
17	1524	83196
18	1599	82584
19	1675	82093
20	1747	81487
21	1825	81145
22	1898	80636
23	1970	80113
24	2057	80247
25	2144	80325
26	2224	80159
27	2295	79703
28	2368	79319
29	2444	79047
30	2517	78690
31	2590	78351
32	2662	78012
33	2736	77762
34	2810	77497
35	2883	77204
36	2960	77056
37	3040	76963
38	3115	76774
39	3189	76546
40	3274	76585
41	3348	76369
42	3422	76173
43	3494	75931
44	3567	75717
45	3644	75594
46	3720	75446
47	3797	75311
48	3872	75162
49	3945	74965
50	4023	74864
51	4099	74733
52	4178	74661
53	4257	74585
54	4328	74368
55	4402	74213
56	4477	74080
57	4546	73841
58	4617	73648
59	4689	73474
60	4763	73322
61	4833	73124
62	4909	73015
63	4987	72944
64	5066	72873
65	5145	72818
66	5223	72745
67	5302	72671
68	5378	72569
69	5465	72611
70	5544	72551
71	5626	72514
72	5702	72419
73	5785	72402
74	5868	72384
75	5942	72244
76	6011	72062
77	6090	71994
78	6168	71913
79	6241	71776
80	6316	71662
81	6381	71443
82	6459	71366
83	6532	71238
84	6608	71134
85	6687	71077
86	6759	70931
87	6834	70833
88	6912	70759
89	6985	70628
90	7064	70563
91	7139	70460
92	7218	70402
93	7299	70358
94	7371	70227
95	7452	70175
96	7529	70095
97	7607	70021
98	7681	69912
99	7753	69777
100	7857	69939
101	7939	69895
102	8024	69885
103	8118	69941
104	8244	70277
105	8327	70229
106	8404	70146
107	8492	70140
108	8578	70119
109	8666	70119
110	8748	70067
111	8835	70056
112	8912	69961
113	8984	69827
114	9060	69729
115	9147	69709
116	9227	69639
117	9300	69516
118	9373	69393
119	9451	69310
120	9479	68860
121	9561	68814
122	9643	68755
123	9722	68687
124	9811	68678
125	9897	68655
126	9973	68558
127	10052	68483
128	10129	68392
129	10208	68318
130	10296	68303
131	10378	68243
132	10452	68137
133	10528	68040
134	10602	67932
135	10674	67813
136	10750	67720
137	10826	67624
138	10910	67584
139	10988	67501
140	11063	67401
141	11140	67311
142	11212	67196
143	11285	67083
144	11364	67009
145	11449	66969
146	11537	66950
147	11624	66921
148	11704	66846
149	11790	66813
150	11884	66819
151	11977	66822
152	12052	66721
153	12127	66624
154	12209	66560
155	12288	66485
156	12358	66357
157	12427	66229
158	12503	66137
159	12577	66032
160	12653	65939
161	12744	65923
162	12824	65852
163	12900	65760
164	12978	65679
165	13020	65416
166	13091	65301
167	13164	65194
168	13245	65128
169	13331	65089
170	13423	65076
171	13513	65053
172	13593	64979
173	13672	64904
174	13757	64857
175	13835	64776
176	13913	64694
177	13995	64632
178	14069	64528
179	14145	64441
180	14226	64373
181	14304	64289
182	14380	64201
183	14452	64094
184	14532	64020
185	14655	64139
186	14754	64147
187	14839	64092
188	14920	64025
189	14999	63946
190	15079	63870
191	15150	63757
192	15236	63711
193	15333	63705
194	15424	63674
195	15501	63587
196	15596	63571
197	15740	63758
198	15824	63693
199	15910	63643
200	15985	63545
201	16067	63474
202	16116	63274
203	16191	63179
204	16268	63091
205	16343	62994
206	16413	62878
207	16492	62798
208	16579	62749
209	16666	62696
210	16758	62664
211	16839	62590
212	16910	62481
213	16983	62379
214	17050	62255
215	17125	62160
216	17198	62058
217	17273	61962
218	17345	61856
219	17417	61751
220	17491	61654
221	17557	61529
222	17628	61423
223	17697	61310
224	17770	61208
225	17839	61096
226	17912	60998
227	17985	60898
228	18079	60870
229	18147	60753
230	18219	60651
231	18292	60554
232	18369	60468
233	18444	60379
234	18518	60284
235	18591	60186
236	18664	60087
237	18742	60008
238	18818	59921
239	18893	59828
240	18963	59723
241	19034	59621
242	19107	59524
243	19180	59426
244	19247	59314
245	19321	59221
246	19391	59117
247	19467	59029
248	19538	58929
249	19610	58832
250	19686	58746
251	19760	58655
252	19831	58552
253	19901	58450
254	19972	58350
255	20045	58257
256	20117	58160
257	20191	58070
258	20257	57957
259	20330	57864
260	20397	57752
261	20469	57657
262	20543	57567
263	20599	57428
264	20662	57308
265	20728	57198
266	20803	57113
267	20877	57023
268	20946	56922
269	21017	56826
270	21088	56729
271	21161	56636
272	21236	56553
273	21310	56464
274	21383	56375
275	21454	56279
276	21517	56162
277	21589	56070
278	21664	55985
279	21737	55897
280	21812	55811
281	21885	55723
282	21961	55641
283	22038	55561
284	22111	55473
285	22181	55376
286	22255	55289
287	22325	55193
288	22400	55109
289	22472	55018
290	22545	54930
291	22620	54847
292	22693	54759
293	22764	54666
294	22831	54564
295	22907	54481
296	22975	54383
297	23040	54276
298	23116	54196
299	23196	54124
300	23266	54030
301	23342	53951
302	23421	53877
303	23502	53809
304	23576	53723
305	23650	53638
306	23724	53553
307	23785	53441
308	23857	53350
309	23927	53258
310	24006	53185
311	24084	53110
312	24157	53022
313	24230	52936
314	24298	52839
315	24370	52750
316	24445	52669
317	24524	52596
318	24596	52508
319	24670	52424
320	24743	52338
321	24817	52255
322	24884	52156
323	24956	52069
324	25025	51976
325	25096	51887
326	25162	51786
327	25237	51706
328	25308	51617
329	25382	51534
330	25458	51455
331	25531	51370
332	25604	51285
333	25679	51205
334	25753	51122
335	25827	51040
336	25900	50956
337	25972	50869
338	26040	50774
339	26111	50686
340	26208	50648
341	26283	50569
342	26356	50485
343	26429	50400
344	26499	50311
345	26567	50217
346	26640	50132
347	26708	50039
348	26785	49963
349	26858	49879
350	26926	49787
351	26994	49695
352	27063	49603
353	27138	49523
354	27231	49477
355	27311	49406
356	27396	49343
357	27485	49289
358	27558	49205
359	27633	49127
360	27715	49058
361	27788	48975
362	27857	48884
363	27928	48798
364	28008	48727
365	28078	48638
366	28145	48545
367	28216	48457
368	28287	48372
369	28357	48284
370	28429	48200
371	28499	48111
372	28568	48023
373	28639	47936
374	28713	47856
375	28787	47775
376	28868	47706
377	28940	47622
378	29004	47525
379	29078	47443
380	29152	47363
381	29221	47274
382	29295	47193
383	29369	47113
384	29440	47028
385	29522	46961
386	29594	46877
387	29664	46789
388	29736	46706
389	29808	46624
390	29877	46535
391	29945	46446
392	30019	46365
393	30092	46284
394	30168	46206
395	30242	46127
396	30317	46049
397	30392	45970
398	30461	45883
399	30549	45823
400	30619	45738
401	30691	45655
402	30759	45566
403	30829	45481
404	30907	45406
405	30978	45323
406	31051	45241
407	31120	45155
408	31193	45073
409	31264	44990
410	31331	44901
411	31405	44820
412	31504	44777
413	31587	44711
414	31663	44633
415	31736	44552
416	31808	44470
417	31883	44392
418	31957	44313
419	32029	44230
420	32093	44137
421	32160	44048
422	32227	43960
423	32298	43877
424	32372	43797
425	32443	43715
426	32511	43627
427	32577	43538
428	32649	43455
429	32719	43372
430	32789	43288
431	32858	43202
432	32928	43119
433	33003	43040
434	33078	42964
435	33158	42893
436	33235	42817
437	33307	42736
438	33382	42659
439	33453	42577
440	33526	42497
441	33597	42414
442	33666	42329
443	33734	42244
444	33806	42163
445	33878	42081
446	33951	42002
447	34022	41920
448	34093	41838
449	34162	41754
450	34231	41669
451	34305	41591
452	34380	41514
453	34452	41433
454	34524	41353
455	34598	41275
456	34664	41187
457	34740	41111
458	34815	41034
459	34883	40949
460	34966	40882
461	35035	40798
462	35106	40717
463	35181	40640
464	35257	40564
465	35336	40493
466	35421	40427
467	35490	40344
468	35561	40262
469	35631	40180
470	35704	40101
471	35766	40010
472	35844	39936
473	35916	39856
474	35987	39775
475	36060	39697
476	36128	39612
477	36200	39532
478	36273	39454
479	36344	39372
480	36414	39291
481	36485	39210
482	36553	39127
483	36622	39044
484	36694	38964
485	36765	38883
486	36831	38797
487	36902	38717
488	36977	38640
489	37047	38559
490	37116	38477
491	37188	38397
492	37251	38309
493	37323	38230
494	37393	38148
495	37469	38074
496	37538	37992
497	37606	37908
498	37675	37826
499	37742	37742
500	37812	37661
501	37879	37577
502	37950	37498
503	38022	37419
504	38120	37365
505	38194	37288
506	38265	37208
507	38333	37126
508	38403	37045
509	38473	36964
510	38549	36890
511	38620	36809
512	38696	36735
513	38766	36655
514	38830	36568
515	38905	36492
516	38979	36416
517	39053	36339
518	39122	36257
519	39190	36176
520	39265	36099
521	39345	36028
522	39417	35950
523	39486	35869
524	39557	35790
525	39629	35711
526	39697	35629
527	39769	35551
528	39840	35472
529	39913	35394
530	39984	35316
531	40056	35237
532	40130	35161
533	40205	35085
534	40272	35003
535	40345	34926
536	40420	34850
537	40492	34772
538	40559	34689
539	40629	34609
540	40698	34530
541	40771	34453
542	40841	34373
543	40912	34294
544	40987	34219
545	41058	34139
546	41129	34061
547	41198	33981
548	41271	33904
549	41344	33827
550	41413	33747
551	41481	33666
552	41553	33588
553	41628	33513
554	41696	33431
555	41768	33354
556	41843	33279
557	41907	33195
558	41981	33119
559	42059	33046
560	42133	32970
561	42209	32896
562	42279	32817
563	42350	32739
564	42422	32661
565	42492	32582
566	42565	32506
567	42647	32435
568	42719	32358
569	42790	32280
570	42860	32201
571	42929	32122
572	42999	32043
573	43075	31969
574	43151	31894
575	43242	31831
576	43320	31758
577	43396	31683
578	43470	31608
579	43556	31540
580	43641	31472
581	43714	31396
582	43785	31318
583	43852	31237
584	43924	31160
585	43992	31079
586	44063	31001
587	44135	30924
588	44207	30847
589	44277	30769
590	44348	30690
591	44415	30610
592	44487	30533
593	44559	30456
594	44635	30381
595	44705	30303
596	44776	30225
597	44844	30146
598	44913	30067
599	44987	29991
600	45060	29915
601	45133	29838
602	45202	29760
603	45279	29686
604	45356	29613
605	45430	29537
606	45500	29459
607	45575	29383
608	45647	29307
609	45719	29230
610	45788	29151
611	45857	29072
612	45925	28993
613	45993	28914
614	46071	28841
615	46143	28765
616	46212	28686
617	46282	28608
618	46374	28543
619	46443	28465
620	46513	28387
621	46583	28309
622	46654	28232
623	46718	28151
624	46790	28074
625	46860	27996
626	46933	27920
627	47004	27843
628	47070	27763
629	47143	27687
630	47213	27609
631	47282	27531
632	47353	27454
633	47424	27377
634	47495	27300
635	47567	27224
636	47637	27146
637	47703	27066
638	47771	26988
639	47841	26910
640	47909	26832
641	47980	26755
642	48045	26675
643	48115	26598
644	48188	26522
645	48264	26448
646	48335	26371
647	48405	26294
648	48477	26217
649	48546	26140
650	48615	26062
651	48685	25985
652	48758	25909
653	48826	25831
654	48898	25755
655	48968	25678
656	49038	25601
657	49104	25522
658	49175	25445
659	49248	25370
660	49319	25293
661	49399	25222
662	49466	25143
663	49534	25065
664	49606	24989
665	49675	24912
666	49747	24836
667	49818	24759
668	49882	24680
669	49951	24603
670	50029	24530
671	50095	24451
672	50166	24374
673	50233	24297
674	50302	24219
675	50377	24145
676	50446	24068
677	50517	23991
678	50594	23918
679	50669	23844
680	50744	23770
681	50821	23696
682	50898	23623
683	50974	23549
684	51043	23472
685	51120	23399
686	51197	23326
687	51276	23253
688	51359	23182
689	51439	23110
690	51508	23033
691	51583	22959
692	51648	22880
693	51716	22802
694	51786	22726
695	51851	22647
696	51926	22573
697	51994	22496
698	52066	22420
699	52141	22346
700	52217	22272
701	52290	22197
702	52359	22120
703	52432	22045
704	52510	21972
705	52584	21897
706	52658	21823
707	52723	21744
708	52793	21668
709	52864	21592
710	52934	21516
711	53007	21441
712	53081	21366
713	53155	21291
714	53230	21217
715	53312	21146
716	53391	21073
717	53472	21001
718	53552	20929
719	53632	20857
720	53712	20784
721	53786	20709
722	53852	20632
723	53919	20554
724	53991	20479
725	54067	20405
726	54139	20330
727	54208	20253
728	54282	20179
729	54352	20103
730	54422	20026
731	54497	19952
732	54569	19877
733	54641	19801
734	54712	19726
735	54785	19651
736	54857	19576
737	54929	19500
738	54998	19424
739	55069	19348
740	55136	19271
741	55206	19195
742	55275	19119
743	55346	19043
744	55418	18968
745	55488	18892
746	55558	18816
747	55629	18741
748	55700	18666
749	55770	18590
750	55844	18515
751	55915	18440
752	55983	18363
753	56054	18288
754	56130	18214
755	56193	18136
756	56266	18061
757	56334	17985
758	56407	17910
759	56480	17835
760	56547	17759
761	56619	17684
762	56685	17607
763	56756	17532
764	56823	17455
765	56892	17379
766	56960	17303
767	57030	17227
768	57104	17153
769	57170	17076
770	57241	17001
771	57316	16927
772	57386	16852
773	57454	16776
774	57524	16700
775	57594	16625
776	57662	16549
777	57730	16473
778	57799	16397
779	57872	16323
780	57936	16245
781	58009	16171
782	58081	16096
783	58149	16020
784	58217	15944
785	58285	15869
786	58350	15792
787	58426	15718
788	58497	15643
789	58569	15569
790	58646	15495
791	58720	15421
792	58794	15347
793	58863	15271
794	58931	15196
795	59001	15121
796	59069	15045
797	59138	14969
798	59209	14894
799	59282	14820
800	59354	14746
801	59426	14671
802	59499	14596
803	59564	14520
804	59661	14452
805	59734	14377
806	59799	14301
807	59868	14226
808	59933	14149
809	60005	14075
810	60076	14000
811	60150	13926
812	60223	13852
813	60299	13778
814	60365	13702
815	60436	13627
816	60511	13554
817	60580	13478
818	60656	13405
819	60724	13329
820	60797	13255
821	60866	13180
822	60932	13104
823	61010	13031
824	61076	12955
825	61148	12881
826	61217	12806
827	61290	12731
828	61361	12657
829	61430	12582
830	61498	12506
831	61564	12431
832	61632	12356
833	61691	12279
834	61754	12202
835	61821	12127
836	61889	12052
837	61955	11977
838	62023	11901
839	62095	11827
840	62172	11754
841	62245	11680
842	62308	11604
843	62379	11529
844	62451	11455
845	62523	11381
846	62595	11307
847	62663	11232
848	62739	11158
849	62810	11084
850	62874	11008
851	62944	10933
852	63011	10859
853	63083	10784
854	63153	10710
855	63231	10636
856	63297	10561
